"","V1","V2","V3","V4"
"1",3.96396894382747,3.96773100516086,3.97150207335461,3.97528212397556
"2",3.12474728112767,3.12537937040223,3.12601238771461,3.12664632225997
"3",7.92018174453581,7.92529788895724,7.93041540829929,7.93553413521
"4",1.35878100562749,1.36460962023062,1.37045653953832,1.37632177405476
"5",3.05953724685462,3.06084781002021,3.0621595350605,3.06347238894358
"6",6.00791515353896,6.01397469913031,6.02004963443948,6.02613993280546
"7",4.09032831754112,4.08723455716017,4.08413828349881,4.08103957241276
"8",2.53750248739866,2.54407700843187,2.5506710911842,2.5572847278738
"9",2.7453580609182,2.74614785067434,2.74693771220824,2.74772762258099
"10",4.10093864802927,4.10829062005518,4.11566110557877,4.12305006719191
"11",2.07850008400881,2.08025141572597,2.08201101291041,2.08377891200275
"12",0,0,0,0
"13",3.5007362961546,3.49675452301653,3.4927658420046,3.4887703035429
"14",3.69415806323697,3.70500759037732,3.71588178239293,3.72678055804731
"15",2.06496721993725,2.06876857516519,2.0725745465427,2.07638505734425
"16",0,0,0,0
"17",5.68649717538262,5.68602563631733,5.68555217369034,5.68507676269849
"18",3.48503592004232,3.48690110409272,3.48877488733234,3.49065729852045
"19",9.64668771856742,9.6428141950435,9.63892787549003,9.63502875173991
"20",3.9517023701873,3.95397302032056,3.95624473118501,3.95851743866415
"21",3.42244758573556,3.42912303461563,3.43581233433376,3.44251540602726
"22",1.76682858238753,1.76972318250702,1.77262355486004,1.77552966214211
"23",1.63241442832158,1.6304190115311,1.62841507916111,1.62640260487167
"24",1.71503884163527,1.71521675445788,1.71539764088706,1.71558152415699
"25",6.1326389508801,6.13576850254754,6.1389073795334,6.14205558054176
"26",1.8344644781857,1.83538743934432,1.83631541479675,1.83724842648564
"27",0,0,0,0
"28",5.25194388941364,5.25502933733065,5.25812167244738,5.26122086853192
"29",4.95320180671066,4.95874239070946,4.9643023138402,4.96988160353122
"30",4.83512487503476,4.83641031323546,4.83769773417993,4.83898712109382
"31",2.47661812702617,2.47913457576333,2.48165647168784,2.4841837878001
"32",3.25371548821985,3.25640482133547,3.25910043539084,3.26180231010613
"33",0,0,0,0
"34",0,0,0,0
"35",5.72721043344946,5.7284735809651,5.72974569657299,5.73102683995359
"36",0,0,0,0
"37",0,0,0,0
"38",1.44572387946168,1.45026995317756,1.45483362788316,1.45941494436281
"39",3.3401925841985,3.34588185133844,3.3495176615357,3.35316501592729
"40",2.783306772755,2.78836473759601,2.79343681743799,2.79852299138043
"41",0,0,0,0
"42",2.98170731132904,2.98304336649522,2.98438621376172,2.98573587997285
"43",3.47889148304587,3.48304428157394,3.48720808033688,3.49138286006132
"44",2.37970974793157,2.38246793360872,2.38523452682172,2.38800953088474
"45",2.14883939595311,2.15187134857587,2.15491561080379,2.15797221510937
"46",1.77137373421647,1.77854951017001,1.78574473447041,1.79295938877186
"47",0,0,0,0
"48",0,0,0,0
"49",2.20052774840894,2.20528588699574,2.21005671629317,2.21484022276402
"50",5.08022510736898,5.08668483411232,5.09315782635711,5.09964401118707
"51",5.46291750773189,5.46934103511512,5.47578063761457,5.48223628443655
"52",9.70674000758003,9.70772261037678,9.70871532408774,9.7097182231445
"53",5.58938275332082,5.59198874630301,5.59459691196136,5.59720718942349
"54",0,0,0,0
"55",4.16555058518063,4.17104759995229,4.17655345154137,4.18206805322449
"56",7.547507075451,7.54255602432585,7.53759274323807,7.53261725490185
"57",11.804914128279,11.808478211923,11.8120413331477,11.8156033509432
"58",3.21406019401137,3.21182624850795,3.20958318182305,3.20733096909578
"59",3.25129227988834,3.25380192404878,3.25631994286831,3.25884634613189
"60",9.14252890024988,9.14054389876176,9.13854344656611,9.13652742969963
"61",0,0,0,0
"62",2.27212106776719,2.27773109265633,2.28335878794704,2.28900415950149
"63",1.93672944296389,1.94102446764865,1.94533208059118,1.94965227937081
"64",4.26360418961855,4.26976619820038,4.27593935865886,4.28212358931592
"65",1.4169573624505,1.41928678681501,1.42162444192544,1.42397034171107
"66",6.72504227624396,6.72631173672866,6.72758276524373,6.72885533180476
"67",4.0922914265322,4.09048245497509,4.08867140836604,4.08685831780856
"68",0.864270939393968,0.863534218847922,0.862793845539981,0.862049804326353
"69",7.7961005503802,7.79605062117278,7.79586501172221,7.79567349531415
"70",5.38846224649897,5.3922457773174,5.39603591493799,5.39983260552444
"71",3.07196655420959,3.07104532049448,3.07012674623666,3.06921088425537
"72",3.02995014425379,3.03179965139763,3.03365597326007,3.03551912398398
"73",10.782682579054,10.780578524288,10.7784660037999,10.776344992499
"74",1.15172877590989,1.15501233618284,1.15830726242211,1.16161357197885
"75",5.4087549621802,5.40078600032971,5.39280687311849,5.38481773579106
"76",0.354991191836948,0.35730155843945,0.359624215342855,0.361959212654308
"77",0.443477179382194,0.445414776558602,0.447358592380822,0.449308632306863
"78",0,0,0,0
"79",3.87820666784499,3.88484448977383,3.89150174356122,3.89817842716769
"80",2.75972227067679,2.75979901056492,2.75987595755359,2.75995311095522
"81",2.20791166029948,2.20504192802207,2.20217531112236,2.19931195113664
"82",3.1932439910867,3.19119301675113,3.18913652395053,3.18707451770045
"83",2.87500470231497,2.87694340710977,2.87889015330733,2.88084496291321
"84",4.14978125357049,4.15687095484254,4.16398085802295,4.17111095364756
"85",2.64229206939176,2.64164414111361,2.64100420063975,2.64037236116402
"86",6.97315580255761,6.97999947280096,6.98686186776983,6.99374296126708
"87",3.51040982977318,3.51437785233553,3.51835982098282,3.52235575793724
"88",7.02665714679823,7.02834640659311,7.0300381158095,7.03173223991338
"89",2.93815843882228,2.93870207969526,2.93906115481637,2.93942980321651
"90",0,0,0,0
"91",4.59859371404626,4.60409706472591,4.60961928195428,4.61516039052316
"92",1.47041376370433,1.47311046115011,1.47581472754384,1.47852656099818
"93",7.55264819274795,7.55614575819707,7.55964581391998,7.56314825128211
