"","time_t1[[11]]"
"1",0.0296917264352787
"2",0.00398723456853842
"3",0.0359570752431054
"4",0.00147366090942842
"5",0.0144361811849363
"6",0.00508233424486496
"7",0.0149705427177398
"8",0.00154049148138936
"9",2.94978106350816e-05
"10",5.64930173571163e-07
"11",0.00100697925414851
"12",0
"13",0.0188065011822156
"14",0.0051176297785908
"15",0.00181268812733669
"16",0
"17",0.0559601886048564
"18",0.000360048370908215
"19",0.131148597308866
"20",0.0074937504438559
"21",0.00113215888908761
"22",0.00022572013260238
"23",0.0204090818478673
"24",3.82434642038486e-05
"25",0.0713076987935574
"26",0.000392036418344622
"27",0
"28",0.0203564066700127
"29",0.00475134416017808
"30",0.0308144327577113
"31",2.14616590757706e-07
"32",0.00279776535925025
"33",0
"34",0
"35",0.0414872871309998
"36",0
"37",0
"38",5.50438184858633e-07
"39",0.00124082738652372
"40",0.00365525277853425
"41",0
"42",0.00115446963435112
"43",7.39835510342703e-06
"44",0.000183653779230757
"45",1.66487686448316e-06
"46",2.15162597973234e-05
"47",0
"48",0
"49",0.00855566386824372
"50",0.033209224447012
"51",0.0252147246091449
"52",0.105931837877994
"53",0.0598675072766096
"54",0
"55",0.016395359702354
"56",0.063448327058228
"57",0.169036644893336
"58",0.000197259824000821
"59",1.48058241980622e-05
"60",0.070395079729307
"61",0
"62",0.000370706714579871
"63",0.000956067229102903
"64",1.51690212821192e-07
"65",0.000801890594696199
"66",0.0411135377083638
"67",0.00724156078219616
"68",0.000729062012387379
"69",0.0316884778582768
"70",0.0173149048635699
"71",2.97916170334294e-05
"72",0.0068803224822175
"73",0.11998957615516
"74",0.00302908418559959
"75",0.0678037194449301
"76",1.16145456201611e-06
"77",0.000888961137810609
"78",0
"79",0.00329580315689007
"80",0.00190061590258097
"81",3.97439200311245e-09
"82",0.0124644400447106
"83",0.00161210181600483
"84",0.0141859999078971
"85",0.000198058748539771
"86",0.0472033593213238
"87",0.00140816762483806
"88",0.0246432873405092
"89",0.015769647606079
"90",0
"91",0.0108411138989401
"92",2.27051718428027e-07
"93",0.0121070669520015
"94",0.0102664961687005
"95",8.96048028857521e-05
"96",0.000933303346507799
"97",0.223211769041537
"98",0.0106738953505099
"99",0.00026255048310434
"100",1.29083758223958e-05
"101",0
"102",0.00870766941779236
