"","time_t2[[11]]"
"1",0.0297173335305766
"2",0.00398803113531789
"3",0.0359777373146863
"4",0.0014799532645067
"5",0.0144420885853098
"6",0.00508737936073364
"7",0.0149597437714576
"8",0.00154446366303868
"9",2.9506295840855e-05
"10",5.65942952323344e-07
"11",0.00100782507658092
"12",0
"13",0.0187863511795007
"14",0.00513242062308529
"15",0.00181600622591267
"16",0
"17",0.0559563356092197
"18",0.000360240852673998
"19",0.131116199494385
"20",0.00749795613428345
"21",0.00113435936818341
"22",0.000226089670564352
"23",0.0203857002713754
"24",3.82474309960663e-05
"25",0.0713362631422643
"26",0.000392233420975633
"27",0
"28",0.0203676145882672
"29",0.00475658057770387
"30",0.0308218490815471
"31",2.14834658808716e-07
"32",0.00280005772345778
"33",0
"34",0
"35",0.0414952815800969
"36",0
"37",0
"38",5.52169032851023e-07
"39",0.00124293212413227
"40",0.00366181980800522
"41",0
"42",0.00115498508113341
"43",7.40718641393341e-06
"44",0.000183866520248734
"45",1.66722594727579e-06
"46",2.16034155968338e-05
"47",0
"48",0
"49",0.00857367225372584
"50",0.0332471442459264
"51",0.0252420702816066
"52",0.105939218070382
"53",0.0598903442726059
"54",0
"55",0.0164158979759734
"56",0.0634146957408595
"57",0.169062488466574
"58",0.000197122801659955
"59",1.48172521586607e-05
"60",0.0703829941034651
"61",0
"62",0.000371620958670842
"63",0.000958181159542606
"64",1.51909444229651e-07
"65",0.000803205585063909
"66",0.0411203219759284
"67",0.00723843159307303
"68",0.000728441950449123
"69",0.0316882818606226
"70",0.0173264118881004
"71",2.97826838336913e-05
"72",0.00688443274315323
"73",0.119974436096879
"74",0.00303763867658392
"75",0.0677242877528025
"76",1.16901355548756e-06
"77",0.000892834331201684
"78",0
"79",0.00330138636282543
"80",0.00190066844125489
"81",3.96922628880768e-09
"82",0.0124567427440896
"83",0.00161318346579072
"84",0.0142091718728037
"85",0.000198010211900533
"86",0.0472430158772775
"87",0.00140975239406293
"88",0.0246487618915908
"89",0.0157724148099657
"90",0
"91",0.0108536524490422
"92",2.27468124593055e-07
"93",0.0121124273011102
"94",0.010269510465133
"95",8.9756322566377e-05
"96",0.000933655227512278
"97",0.223219380407316
"98",0.0106629740620914
"99",0.000263759075153952
"100",1.29086017680529e-05
"101",0
"102",0.00871232716942904
"103",0.0103210521855953
"104",0.0716905323336724
"105",0.00216021676099182
"106",0.000874336045699577
"107",0
"108",0.0258560704929177
"109",0
"110",0.00422221087929581
"111",0.0105449771271857
"112",0.0216219774675042
"113",0.00475515562336397
"114",0.0146742371763841
"115",0.0107842977371788
"116",1.7148804712593e-07
"117",0.00494101203550383
"118",0.020577446373452
"119",0.0266329047043697
"120",0.0560050882605707
"121",0.00128936797809981
"122",0.00946050112617187
"123",0
"124",0.000243180539228927
"125",0.0806240736865246
"126",0.00244553524414618
"127",0.0651559621484465
"128",0.0052699364764204
"129",0.00429573296209555
"130",1.73374655256843e-05
"131",0.00634068302994795
"132",0.0533637762567805
"133",0.0102648791489886
"134",0
"135",0.00256200531625962
"136",0.00926053913859302
"137",0.00316054123780161
"138",0.00118181920340727
"139",0.0625922416179331
"140",2.07538615259357e-05
"141",0
"142",0.00205686731253152
"143",0
"144",0
"145",0
"146",1.67473000041693e-05
"147",0
"148",0
"149",0.0699676959877594
"150",0.0775181242211023
"151",0.00572715555991843
"152",0
"153",0.251131503977464
"154",2.11327756508206e-05
"155",0.000629675536914365
"156",0
"157",0.000358662893539458
"158",0.000278396069361359
"159",0.0920630503106868
"160",0.000540838453803571
"161",0.0124335446227234
"162",0.245260663081463
"163",0
"164",0.00633936841500505
"165",0.0459227727045478
"166",0.0167366444733236
"167",0
"168",0.016156632272964
"169",0.0233807226947696
"170",0.000748795212139938
"171",0.00372475211139574
"172",0.00756665405828744
"173",0.0776226544594836
"174",0
"175",0.0010538661607377
